Session,Date/Time,ColorType,EmailAddress,
610f4dfc-6b65-464b-be8b-1a814d5f4b04,11/27/2013 4:39 PM,Color,jj@b.com;,
5eb8a562-0b28-49a2-b137-9c60b14821bb,11/27/2013 4:46 PM,Color,hhh@b.com;,
8ee6d79d-5a88-482a-8afa-070a6e44384f,11/27/2013 4:51 PM,BW,jjj@b.com;,
469522fa-f930-46d2-9b18-168a19f1cc0c,11/27/2013 5:05 PM,Color,ggg@b.com;,
65e183a0-fc04-45b4-a673-aba5693a3529,11/27/2013 6:51 PM,Color,,
c7572813-1009-4276-825e-228f13fb575a,11/27/2013 6:53 PM,Color,,
b9297c4e-1867-47a6-8141-298eb9b48463,11/27/2013 6:57 PM,Color,,
802fcb19-2c86-4de6-908a-455b0aa50906,11/27/2013 7:03 PM,Color,,
7d12fe0b-f5fb-4ef3-90e7-e14a20c8158e,11/27/2013 7:06 PM,Color,,
a9d22f8b-a5bf-48cf-b16a-82f7c73ec027,11/29/2013 5:59 AM,Color,,
f7d6841f-e515-41d3-8b67-e7bb1aa55650,11/29/2013 6:00 AM,Color,,
035f4fd1-0f09-40d9-b6b7-da05c4540759,11/29/2013 6:01 AM,Color,,
12c8fe42-652f-4e8a-941e-cfa9f8596b1f,11/29/2013 6:02 AM,Color,,
06b4a1bf-ed15-4632-8725-4b6cb430cc51,11/29/2013 6:46 AM,Color,,
f41576fb-1f69-4c3e-8c33-e9a3bba6442f,11/29/2013 6:52 AM,Color,,
e8ebda93-f0b2-4d38-a381-a399d5e45ad0,11/29/2013 8:35 AM,Color,jtardi@mmeink.com;,
9ee892a3-d438-4f80-984c-8c83d5995334,12/3/2013 4:38 PM,Color,a@g.com;,
d6041db2-801e-45cd-8597-f4aa73c36d25,12/3/2013 4:54 PM,Color,g@go.com;,
b0c007e1-521f-4f23-ab6e-40d82597d6a1,12/3/2013 5:19 PM,Color,,
678c26c6-07eb-4623-abec-bca74d959aae,12/3/2013 5:25 PM,Color,jtardi@nn.com;,
fd0a9251-b1d2-4f87-986c-5e19b10010f9,12/3/2013 5:27 PM,Color,,
c685d0b9-d69f-4adb-808e-c16bfbf72465,12/3/2013 5:30 PM,Color,,
9322030c-c231-4d97-a509-169ae712fcca,12/3/2013 5:53 PM,Color,g@g.com;,
2c54a649-d708-47e4-a851-6bbc050810bb,12/3/2013 5:57 PM,Color,jtardi@mmeink.com;,
3ec14b3e-a69d-46e9-ab88-0494cf3a7589,12/4/2013 7:35 AM,Color,,
7943d775-5ecd-47e3-b08c-717843ee3d32,12/4/2013 7:37 AM,Color,jtardi@mmeink.com;,
c9746424-960c-4a99-890a-a595ff0398da,12/4/2013 7:39 AM,Color,,
1e0adc78-19f7-44ed-a233-8834c1b9f6ba,12/4/2013 7:42 AM,BW,,
b0ec5443-5166-4738-b055-4c3a54830eac,12/4/2013 7:57 AM,Color,jtardi@mmeink.com;,
fe5311d8-8955-4ac1-918a-b84464dd5c9c,12/4/2013 8:48 PM,Color,
546b5dfa-1659-43fc-8c91-d623568d4d4e,12/4/2013 8:49 PM,Color,
bd9797bd-3bc1-4fa8-a2dd-5a3da72849de,12/4/2013 8:54 PM,Color,
67352281-aae6-4190-bede-7513965bd80c,12/4/2013 8:57 PM,Color,
b37b3e06-f48a-426f-94c7-c7127f198178,12/4/2013 8:58 PM,Color,
64115aca-364e-4e5a-93da-8e2812e28c0f,12/4/2013 9:05 PM,Color,
dca68df1-b496-4177-a423-8bc3b365dd25,12/4/2013 9:17 PM,Color,
8880c4b4-a30b-429a-b17d-4d666d930608,12/4/2013 9:19 PM,Color,
1ff22c4e-6463-4060-90f5-72626685d852,12/4/2013 9:21 PM,Color,
